mouse_symbol,human_symbol,source,confidence
XAB2,XAB2,HCOP,12
XAF1,XAF1,HCOP,12
XIRP1,XIRP1,HCOP,12
XK,XK,HCOP,12
XKR4,XKR4,HCOP,12
XKR8,XKR8,HCOP,12
XKR9,XKR9,HCOP,12
XKRX,XKRX,HCOP,12
XPA,XPA,HCOP,12
XPC,XPC,HCOP,12
XPNPEP2,XPNPEP2,HCOP,12
XPO1,XPO1,HCOP,12
XPO5,XPO5,HCOP,12
XPO6,XPO6,HCOP,12
XPO7,XPO7,HCOP,12
XPOT,XPOT,HCOP,12
XPR1,XPR1,HCOP,12
XRCC2,XRCC2,HCOP,12
XRCC3,XRCC3,HCOP,12
XRCC4,XRCC4,HCOP,12
XRCC5,XRCC5,HCOP,12
XRRA1,XRRA1,HCOP,12
XYLB,XYLB,HCOP,12
XYLT1,XYLT1,HCOP,12
XYLT2,XYLT2,HCOP,12
YAP1,YAP1,HCOP,12
YARS1,YARS1,HCOP,12
YARS2,YARS2,HCOP,12
YBX2,YBX2,HCOP,12
YBX3,YBX3,HCOP,12
YDJC,YDJC,HCOP,12
YEATS2,YEATS2,HCOP,12
YES1,YES1,HCOP,12
YIF1A,YIF1A,HCOP,12
YIPF1,YIPF1,HCOP,12
YIPF2,YIPF2,HCOP,12
YIPF3,YIPF3,HCOP,12
YIPF4,YIPF4,HCOP,12
YIPF5,YIPF5,HCOP,12
YIPF6,YIPF6,HCOP,12
YIPF7,YIPF7,HCOP,12
YJU2,YJU2,HCOP,12
YJU2B,YJU2B,HCOP,12
YKT6,YKT6,HCOP,12
YOD1,YOD1,HCOP,12
YPEL4,YPEL4,HCOP,12
YPEL5,YPEL5,HCOP,12
YRDC,YRDC,HCOP,12
YTHDC2,YTHDC2,HCOP,12
YTHDF2,YTHDF2,HCOP,12
YWHAE,YWHAE,HCOP,12
YWHAG,YWHAG,HCOP,12
YWHAH,YWHAH,HCOP,12
ZAR1,ZAR1,HCOP,12
ZBBX,ZBBX,HCOP,12
ZBTB1,ZBTB1,HCOP,12
ZBTB14,ZBTB14,HCOP,12
ZBTB18,ZBTB18,HCOP,12
ZBTB2,ZBTB2,HCOP,12
ZBTB26,ZBTB26,HCOP,12
ZBTB32,ZBTB32,HCOP,12
ZBTB33,ZBTB33,HCOP,12
ZBTB38,ZBTB38,HCOP,12
ZBTB39,ZBTB39,HCOP,12
ZBTB40,ZBTB40,HCOP,12
ZBTB42,ZBTB42,HCOP,12
ZBTB43,ZBTB43,HCOP,12
ZBTB44,ZBTB44,HCOP,12
ZBTB46,ZBTB46,HCOP,12
ZBTB49,ZBTB49,HCOP,12
ZBTB5,ZBTB5,HCOP,12
ZBTB6,ZBTB6,HCOP,12
ZBTB7A,ZBTB7A,HCOP,12
ZBTB8A,ZBTB8A,HCOP,12
ZBTB8OS,ZBTB8OS,HCOP,12
ZC2HC1A,ZC2HC1A,HCOP,12
ZC2HC1C,ZC2HC1C,HCOP,12
ZC3H10,ZC3H10,HCOP,12
ZC3H12A,ZC3H12A,HCOP,12
ZC3H12C,ZC3H12C,HCOP,12
ZC3H14,ZC3H14,HCOP,12
ZC3H18,ZC3H18,HCOP,12
ZC3H3,ZC3H3,HCOP,12
ZC3H4,ZC3H4,HCOP,12
ZC3H8,ZC3H8,HCOP,12
ZC3HAV1L,ZC3HAV1L,HCOP,12
ZC3HC1,ZC3HC1,HCOP,12
ZC4H2,ZC4H2,HCOP,12
ZCCHC14,ZCCHC14,HCOP,12
ZCCHC2,ZCCHC2,HCOP,12
ZCCHC4,ZCCHC4,HCOP,12
ZCCHC7,ZCCHC7,HCOP,12
ZCCHC9,ZCCHC9,HCOP,12
ZCRB1,ZCRB1,HCOP,12
ZDHHC12,ZDHHC12,HCOP,12
ZDHHC13,ZDHHC13,HCOP,12
ZDHHC14,ZDHHC14,HCOP,12
ZDHHC15,ZDHHC15,HCOP,12
ZDHHC16,ZDHHC16,HCOP,12
ZDHHC17,ZDHHC17,HCOP,12
ZDHHC18,ZDHHC18,HCOP,12
ZDHHC2,ZDHHC2,HCOP,12
ZDHHC20,ZDHHC20,HCOP,12
ZDHHC21,ZDHHC21,HCOP,12
ZDHHC22,ZDHHC22,HCOP,12
ZDHHC23,ZDHHC23,HCOP,12
ZDHHC24,ZDHHC24,HCOP,12
ZDHHC3,ZDHHC3,HCOP,12
ZDHHC4,ZDHHC4,HCOP,12
ZDHHC5,ZDHHC5,HCOP,12
ZDHHC7,ZDHHC7,HCOP,12
ZDHHC8,ZDHHC8,HCOP,12
ZDHHC9,ZDHHC9,HCOP,12
ZER1,ZER1,HCOP,12
ZFAND1,ZFAND1,HCOP,12
ZFAND2B,ZFAND2B,HCOP,12
ZFAND3,ZFAND3,HCOP,12
ZFAND4,ZFAND4,HCOP,12
ZFAND6,ZFAND6,HCOP,12
ZFAT,ZFAT,HCOP,12
ZFHX2,ZFHX2,HCOP,12
ZFHX3,ZFHX3,HCOP,12
ZFP13,ZNF205,HCOP,12
ZFP131,ZNF131,HCOP,12
ZFP14,ZFP14,HCOP,12
ZFP148,ZNF148,HCOP,12
ZFP174,ZNF174,HCOP,12
ZFP180,ZNF180,HCOP,12
ZFP182,ZNF182,HCOP,12
ZFP189,ZNF189,HCOP,12
ZFP202,ZNF202,HCOP,12
ZFP207,ZNF207,HCOP,12
ZFP217,ZNF217,HCOP,12
ZFP24,ZNF24,HCOP,12
ZFP260,ZNF260,HCOP,12
ZFP263,ZNF263,HCOP,12
ZFP276,ZNF276,HCOP,12
ZFP277,ZNF277,HCOP,12
ZFP292,ZNF292,HCOP,12
ZFP317,ZNF317,HCOP,12
ZFP319,ZNF319,HCOP,12
ZFP326,ZNF326,HCOP,12
ZFP330,ZNF330,HCOP,12
ZFP341,ZNF341,HCOP,12
ZFP346,ZNF346,HCOP,12
ZFP354C,ZNF354C,HCOP,12
ZFP362,ZNF362,HCOP,12
ZFP366,ZNF366,HCOP,12
ZFP367,ZNF367,HCOP,12
ZFP36L1,ZFP36L1,HCOP,12
ZFP385B,ZNF385B,HCOP,12
ZFP414,ZNF414,HCOP,12
ZFP42,ZFP42,HCOP,12
ZFP428,ZNF428,HCOP,12
ZFP444,ZNF444,HCOP,12
ZFP445,ZNF445,HCOP,12
ZFP451,ZNF451,HCOP,12
ZFP454,ZNF454,HCOP,12
ZFP46,ZNF436,HCOP,12
ZFP473,ZNF473,HCOP,12
ZFP503,ZNF503,HCOP,12
ZFP512,ZNF512,HCOP,12
ZFP516,ZNF516,HCOP,12
ZFP518B,ZNF518B,HCOP,12
ZFP523,ZNF76,HCOP,12
ZFP526,ZNF526,HCOP,12
ZFP536,ZNF536,HCOP,12
ZFP553,ZNF48,HCOP,12
ZFP574,ZNF574,HCOP,12
ZFP575,ZNF575,HCOP,12
ZFP579,ZNF579,HCOP,12
ZFP583,ZNF583,HCOP,12
ZFP592,ZNF592,HCOP,12
ZFP606,ZNF606,HCOP,12
ZFP608,ZNF608,HCOP,12
ZFP609,ZNF609,HCOP,12
ZFP618,ZNF618,HCOP,12
ZFP62,ZFP62,HCOP,12
ZFP622,ZNF622,HCOP,12
ZFP638,ZNF638,HCOP,12
ZFP639,ZNF639,HCOP,12
ZFP641,ZNF641,HCOP,12
ZFP653,ZNF653,HCOP,12
ZFP667,ZNF667,HCOP,12
ZFP687,ZNF687,HCOP,12
ZFP689,ZNF689,HCOP,12
ZFP703,ZNF703,HCOP,12
ZFP706,ZNF706,HCOP,12
ZFP750,ZNF750,HCOP,12
ZFP770,ZNF770,HCOP,12
ZFP786,ZNF786,HCOP,12
ZFP804A,ZNF804A,HCOP,12
ZFP827,ZNF827,HCOP,12
ZFP830,ZNF830,HCOP,12
ZFP879,ZNF879,HCOP,12
ZFP90,ZFP90,HCOP,12
ZFP91,ZFP91,HCOP,12
ZFPL1,ZFPL1,HCOP,12
ZFPM1,ZFPM1,HCOP,12
ZFPM2,ZFPM2,HCOP,12
ZFR,ZFR,HCOP,12
ZFYVE21,ZFYVE21,HCOP,12
ZFYVE26,ZFYVE26,HCOP,12
ZFYVE28,ZFYVE28,HCOP,12
ZGPAT,ZGPAT,HCOP,12
ZHX1,ZHX1,HCOP,12
ZHX2,ZHX2,HCOP,12
ZIC2,ZIC2,HCOP,12
ZIC4,ZIC4,HCOP,12
ZIC5,ZIC5,HCOP,12
ZKSCAN1,ZKSCAN1,HCOP,12
ZKSCAN17,ZNF496,HCOP,12
ZKSCAN6,ZNF18,HCOP,12
ZMAT1,ZMAT1,HCOP,12
ZMAT2,ZMAT2,HCOP,12
ZMAT3,ZMAT3,HCOP,12
ZMAT4,ZMAT4,HCOP,12
ZMAT5,ZMAT5,HCOP,12
ZMIZ2,ZMIZ2,HCOP,12
ZMPSTE24,ZMPSTE24,HCOP,12
ZMYM3,ZMYM3,HCOP,12
ZMYM4,ZMYM4,HCOP,12
ZMYM6,ZMYM6,HCOP,12
ZMYND12,ZMYND12,HCOP,12
ZMYND19,ZMYND19,HCOP,12
ZNFX1,ZNFX1,HCOP,12
ZNHIT1,ZNHIT1,HCOP,12
ZNRD2,ZNRD2,HCOP,12
ZNRF1,ZNRF1,HCOP,12
ZNRF3,ZNRF3,HCOP,12
ZNRF4,ZNRF4,HCOP,12
ZP1,ZP1,HCOP,12
ZP2,ZP2,HCOP,12
ZP3,ZP3,HCOP,12
ZPBP,ZPBP,HCOP,12
ZRANB3,ZRANB3,HCOP,12
ZSCAN10,ZSCAN10,HCOP,12
ZSWIM1,ZSWIM1,HCOP,12
ZSWIM2,ZSWIM2,HCOP,12
ZSWIM3,ZSWIM3,HCOP,12
ZSWIM5,ZSWIM5,HCOP,12
ZSWIM7,ZSWIM7,HCOP,12
ZSWIM8,ZSWIM8,HCOP,12
ZSWIM9,ZSWIM9,HCOP,12
ZUP1,ZUP1,HCOP,12
ZW10,ZW10,HCOP,12
ZWILCH,ZWILCH,HCOP,12
ZWINT,ZWINT,HCOP,12
ZXDC,ZXDC,HCOP,12
ZYG11B,ZYG11B,HCOP,12
ZZEF1,ZZEF1,HCOP,12
ZZZ3,ZZZ3,HCOP,12
0610030E20RIK,C2ORF68,HCOP,11
0610040J01RIK,C4ORF19,HCOP,11
1110002E22RIK,C4ORF54,HCOP,11
1110038F14RIK,C8ORF33,HCOP,11
1700003F12RIK,C20ORF144,HCOP,11
1700008O03RIK,C19ORF81,HCOP,11
1700010I14RIK,C6ORF118,HCOP,11
1700017N19RIK,C12ORF50,HCOP,11
1700020A23RIK,C20ORF141,HCOP,11
1700024G13RIK,C10ORF53,HCOP,11
1700066M21RIK,C2ORF69,HCOP,11
1700067K01RIK,C19ORF67,HCOP,11
1700113H08RIK,C12ORF42,HCOP,11
1810030O07RIK,CXORF38,HCOP,11
1810055G02RIK,C11ORF24,HCOP,11
2700049A03RIK,KIAA0586,HCOP,11
2810459M11RIK,C2ORF72,HCOP,11
3425401B19RIK,C10ORF71,HCOP,11
4833420G17RIK,C5ORF34,HCOP,11
4921539E11RIK,C1ORF141,HCOP,11
4930544D05RIK,C17ORF107,HCOP,11
4930558K02RIK,C1ORF105,HCOP,11
4930562C15RIK,C16ORF96,HCOP,11
4930578I06RIK,C8ORF74,HCOP,11
4930579F01RIK,C4ORF17,HCOP,11
4930579G24RIK,C4ORF46,HCOP,11
5031439G07RIK,KIAA0930,HCOP,11
6030468B19RIK,C17ORF99,HCOP,11
6430548M08RIK,KIAA0513,HCOP,11
9330159F19RIK,KIAA0408,HCOP,11
9430015G10RIK,C1ORF159,HCOP,11
9930012K11RIK,C8ORF58,HCOP,11
A130010J15RIK,C1ORF74,HCOP,11
A430005L14RIK,C1ORF174,HCOP,11
AAGAB,AAGAB,HCOP,11
AAR2,AAR2,HCOP,11
AASDH,AASDH,HCOP,11
AATF,AATF,HCOP,11
ABAT,ABAT,HCOP,11
ABCA1,ABCA1,HCOP,11
ABCA12,ABCA12,HCOP,11
ABCA9,ABCA9,HCOP,11
ABCB10,ABCB10,HCOP,11
ABCB1A,ABCB1,HCOP,11
ABCB7,ABCB7,HCOP,11
ABCC12,ABCC12,HCOP,11
ABCC3,ABCC3,HCOP,11
ABCC6,ABCC6,HCOP,11
ABCC8,ABCC8,HCOP,11
ABCD3,ABCD3,HCOP,11
ABCD4,ABCD4,HCOP,11
ABCG4,ABCG4,HCOP,11
ABHD12B,ABHD12B,HCOP,11
ABHD14A,ABHD14A,HCOP,11
ABHD17A,ABHD17A,HCOP,11
ABHD17B,ABHD17B,HCOP,11
ABHD17C,ABHD17C,HCOP,11
ABHD6,ABHD6,HCOP,11
ABI1,ABI1,HCOP,11
ABI2,ABI2,HCOP,11
ABI3BP,ABI3BP,HCOP,11
ABO,ABO,HCOP,11
ABR,ABR,HCOP,11
ABRACL,ABRACL,HCOP,11
ABRAXAS1,ABRAXAS1,HCOP,11
ABTB2,ABTB2,HCOP,11
ACAA2,ACAA2,HCOP,11
ACACB,ACACB,HCOP,11
ACAD10,ACAD10,HCOP,11
ACAD9,ACAD9,HCOP,11
ACADS,ACADS,HCOP,11
ACAP3,ACAP3,HCOP,11
ACAT3,ACAT2,HCOP,11
ACBD6,ACBD6,HCOP,11
ACBD7,ACBD7,HCOP,11
ACD,ACD,HCOP,11
ACHE,ACHE,HCOP,11
ACIN1,ACIN1,HCOP,11
ACKR1,ACKR1,HCOP,11
ACKR2,ACKR2,HCOP,11
ACLY,ACLY,HCOP,11
ACO1,ACO1,HCOP,11
ACOT4,ACOT4,HCOP,11
ACOX2,ACOX2,HCOP,11
ACP1,ACP1,HCOP,11
ACP5,ACP5,HCOP,11
ACP6,ACP6,HCOP,11
ACSL1,ACSL1,HCOP,11
ACSL3,ACSL3,HCOP,11
ACSL4,ACSL4,HCOP,11
ACSL5,ACSL5,HCOP,11
ACSM1,ACSM1,HCOP,11
ACSS1,ACSS1,HCOP,11
ACSS2,ACSS2,HCOP,11
ACTA1,ACTA1,HCOP,11
ACTC1,ACTC1,HCOP,11
ACTG2,ACTG2,HCOP,11
ACTL7B,ACTL7B,HCOP,11
ACTMAP,ACTMAP,HCOP,11
ACTN2,ACTN2,HCOP,11
ACTR10,ACTR10,HCOP,11
ACTR3B,ACTR3B,HCOP,11
ACTR5,ACTR5,HCOP,11
ACTRT2,ACTRT2,HCOP,11
ACVR1C,ACVR1C,HCOP,11
ACVRL1,ACVRL1,HCOP,11
ACYP1,ACYP1,HCOP,11
ACYP2,ACYP2,HCOP,11
ADAM10,ADAM10,HCOP,11
ADAM17,ADAM17,HCOP,11
ADAM19,ADAM19,HCOP,11
ADAM2,ADAM2,HCOP,11
ADAM7,ADAM7,HCOP,11
ADAM9,ADAM9,HCOP,11
ADAMTS1,ADAMTS1,HCOP,11
ADAMTS12,ADAMTS12,HCOP,11
ADAMTS17,ADAMTS17,HCOP,11
ADAMTS18,ADAMTS18,HCOP,11
ADAMTS20,ADAMTS20,HCOP,11
ADAMTS3,ADAMTS3,HCOP,11
ADAMTS5,ADAMTS5,HCOP,11
ADAMTS6,ADAMTS6,HCOP,11
ADAMTS7,ADAMTS7,HCOP,11
ADAMTS9,ADAMTS9,HCOP,11
ADAMTSL1,ADAMTSL1,HCOP,11
ADAMTSL3,ADAMTSL3,HCOP,11
ADAMTSL5,ADAMTSL5,HCOP,11
ADAP1,ADAP1,HCOP,11
ADAP2,ADAP2,HCOP,11
ADARB1,ADARB1,HCOP,11
ADCK1,ADCK1,HCOP,11
ADCY10,ADCY10,HCOP,11
ADCY7,ADCY7,HCOP,11
ADCY8,ADCY8,HCOP,11
ADD1,ADD1,HCOP,11
ADD3,ADD3,HCOP,11
ADGRA3,ADGRA3,HCOP,11
ADGRB1,ADGRB1,HCOP,11
ADGRB3,ADGRB3,HCOP,11
ADGRD1,ADGRD1,HCOP,11
ADGRE5,ADGRE5,HCOP,11
ADGRF1,ADGRF1,HCOP,11
ADGRF3,ADGRF3,HCOP,11
ADGRG3,ADGRG3,HCOP,11
ADGRG5,ADGRG5,HCOP,11
ADGRG7,ADGRG7,HCOP,11
ADGRL3,ADGRL3,HCOP,11
ADGRL4,ADGRL4,HCOP,11
ADH4,ADH4,HCOP,11
ADH7,ADH7,HCOP,11
ADIPOR2,ADIPOR2,HCOP,11
ADK,ADK,HCOP,11
ADNP,ADNP,HCOP,11
ADORA1,ADORA1,HCOP,11
ADORA2B,ADORA2B,HCOP,11
ADRA1D,ADRA1D,HCOP,11
ADRA2A,ADRA2A,HCOP,11
ADRB2,ADRB2,HCOP,11
ADSL,ADSL,HCOP,11
ADSS2,ADSS2,HCOP,11
AFAP1,AFAP1,HCOP,11
AFAP1L2,AFAP1L2,HCOP,11
AFF3,AFF3,HCOP,11
AGAP1,AGAP1,HCOP,11
AGFG1,AGFG1,HCOP,11
AGL,AGL,HCOP,11
AGO1,AGO1,HCOP,11
AGO2,AGO2,HCOP,11
AGTRAP,AGTRAP,HCOP,11
AGXT,AGXT,HCOP,11
AGXT2,AGXT2,HCOP,11
AHCY,AHCY,HCOP,11
AHNAK,AHNAK,HCOP,11
AHR,AHR,HCOP,11
AICDA,AICDA,HCOP,11
AIF1,AIF1,HCOP,11
AIMP2,AIMP2,HCOP,11
AIPL1,AIPL1,HCOP,11
AJAP1,AJAP1,HCOP,11
AKAP1,AKAP1,HCOP,11
AKAP11,AKAP11,HCOP,11
AKAP3,AKAP3,HCOP,11
AKAP6,AKAP6,HCOP,11
AKAP7,AKAP7,HCOP,11
AKAP9,AKAP9,HCOP,11
AKIP1,AKIP1,HCOP,11
AKNAD1,AKNAD1,HCOP,11
AKT1,AKT1,HCOP,11
AKT1S1,AKT1S1,HCOP,11
ALDH1L2,ALDH1L2,HCOP,11
ALDH2,ALDH2,HCOP,11
ALDH3A1,ALDH3A1,HCOP,11
ALDH3A2,ALDH3A2,HCOP,11
ALDH3B1,ALDH3B1,HCOP,11
ALDH4A1,ALDH4A1,HCOP,11
ALG1,ALG1,HCOP,11
ALG12,ALG12,HCOP,11
ALG3,ALG3,HCOP,11
ALG5,ALG5,HCOP,11
ALG8,ALG8,HCOP,11
ALG9,ALG9,HCOP,11
ALK,ALK,HCOP,11
ALKAL1,ALKAL1,HCOP,11
ALKAL2,ALKAL2,HCOP,11
ALKBH5,ALKBH5,HCOP,11
ALKBH6,ALKBH6,HCOP,11
ALLC,ALLC,HCOP,11
ALOX15,ALOX15,HCOP,11
ALOXE3,ALOXE3,HCOP,11
ALPK2,ALPK2,HCOP,11
ALPK3,ALPK3,HCOP,11
ALPL,ALPL,HCOP,11
ALS2,ALS2,HCOP,11
AMACR,AMACR,HCOP,11
AMBP,AMBP,HCOP,11
AMD1,AMD1,HCOP,11
AMDHD2,AMDHD2,HCOP,11
AMER2,AMER2,HCOP,11
AMIGO3,AMIGO3,HCOP,11
AMMECR1L,AMMECR1L,HCOP,11
AMN1,AMN1,HCOP,11
AMPD1,AMPD1,HCOP,11
AMZ2,AMZ2,HCOP,11
ANAPC1,ANAPC1,HCOP,11
ANAPC16,ANAPC16,HCOP,11
ANAPC2,ANAPC2,HCOP,11
ANGPT1,ANGPT1,HCOP,11
ANGPT4,ANGPT4,HCOP,11
ANGPTL2,ANGPTL2,HCOP,11
ANGPTL3,ANGPTL3,HCOP,11
ANK1,ANK1,HCOP,11
ANKAR,ANKAR,HCOP,11
ANKFY1,ANKFY1,HCOP,11
ANKLE1,ANKLE1,HCOP,11
ANKMY1,ANKMY1,HCOP,11
ANKRA2,ANKRA2,HCOP,11
ANKRD10,ANKRD10,HCOP,11
ANKRD12,ANKRD12,HCOP,11
ANKRD16,ANKRD16,HCOP,11
ANKRD2,ANKRD2,HCOP,11
ANKRD22,ANKRD22,HCOP,11
ANKRD24,ANKRD24,HCOP,11
ANKRD28,ANKRD28,HCOP,11
ANKRD29,ANKRD29,HCOP,11
ANKRD33,ANKRD33,HCOP,11
ANKRD33B,ANKRD33B,HCOP,11
ANKRD34B,ANKRD34B,HCOP,11
ANKRD35,ANKRD35,HCOP,11
ANKRD39,ANKRD39,HCOP,11
ANKRD44,ANKRD44,HCOP,11
ANKRD53,ANKRD53,HCOP,11
ANKRD6,ANKRD6,HCOP,11
ANKRD60,ANKRD60,HCOP,11
ANKRD63,ANKRD63,HCOP,11
ANKS6,ANKS6,HCOP,11
ANKZF1,ANKZF1,HCOP,11
ANO2,ANO2,HCOP,11
ANO5,ANO5,HCOP,11
ANO7,ANO7,HCOP,11
ANP32A,ANP32A,HCOP,11
ANP32B,ANP32B,HCOP,11
ANXA10,ANXA10,HCOP,11
ANXA11,ANXA11,HCOP,11
ANXA3,ANXA3,HCOP,11
ANXA4,ANXA4,HCOP,11
ANXA6,ANXA6,HCOP,11
AOAH,AOAH,HCOP,11
AOC2,AOC2,HCOP,11
AP1AR,AP1AR,HCOP,11
AP1B1,AP1B1,HCOP,11
AP1G2,AP1G2,HCOP,11
AP1S2,AP1S2,HCOP,11
AP2A2,AP2A2,HCOP,11
AP3B1,AP3B1,HCOP,11
AP3D1,AP3D1,HCOP,11
AP3M1,AP3M1,HCOP,11
AP3S2,AP3S2,HCOP,11
AP4B1,AP4B1,HCOP,11
AP4E1,AP4E1,HCOP,11
AP5B1,AP5B1,HCOP,11
AP5S1,AP5S1,HCOP,11
APBB1,APBB1,HCOP,11
APC,APC,HCOP,11
APEH,APEH,HCOP,11
APEX2,APEX2,HCOP,11
API5,API5,HCOP,11
APLF,APLF,HCOP,11
APLP2,APLP2,HCOP,11
APOA1,APOA1,HCOP,11
APOA4,APOA4,HCOP,11
APOB,APOB,HCOP,11
APOBEC1,APOBEC1,HCOP,11
APOBEC2,APOBEC2,HCOP,11
APOBEC4,APOBEC4,HCOP,11
APOBR,APOBR,HCOP,11
APOC3,APOC3,HCOP,11
APOD,APOD,HCOP,11
APOL6,APOL6,HCOP,11
APOLD1,APOLD1,HCOP,11
APOO,APOO,HCOP,11
APPL1,APPL1,HCOP,11
APRT,APRT,HCOP,11
AQP1,AQP1,HCOP,11
AQP4,AQP4,HCOP,11
ARAF,ARAF,HCOP,11
ARAP3,ARAP3,HCOP,11
ARCN1,ARCN1,HCOP,11
ARF3,ARF3,HCOP,11
ARFGEF1,ARFGEF1,HCOP,11
ARFRP1,ARFRP1,HCOP,11
ARGLU1,ARGLU1,HCOP,11
ARHGAP18,ARHGAP18,HCOP,11
ARHGAP22,ARHGAP22,HCOP,11
ARHGAP4,ARHGAP4,HCOP,11
ARHGAP40,ARHGAP40,HCOP,11
ARHGAP5,ARHGAP5,HCOP,11
ARHGDIA,ARHGDIA,HCOP,11
ARHGEF12,ARHGEF12,HCOP,11
ARHGEF16,ARHGEF16,HCOP,11
ARHGEF2,ARHGEF2,HCOP,11
ARHGEF26,ARHGEF26,HCOP,11
ARHGEF38,ARHGEF38,HCOP,11
ARHGEF40,ARHGEF40,HCOP,11
ARHGEF5,ARHGEF5,HCOP,11
ARID1B,ARID1B,HCOP,11
ARID3C,ARID3C,HCOP,11
ARID4A,ARID4A,HCOP,11
ARID5A,ARID5A,HCOP,11
ARK2C,ARK2C,HCOP,11
ARK2N,ARK2N,HCOP,11
ARL13B,ARL13B,HCOP,11
ARL14,ARL14,HCOP,11
ARL2,ARL2,HCOP,11
ARL3,ARL3,HCOP,11
ARL4A,ARL4A,HCOP,11
ARL4D,ARL4D,HCOP,11
ARL5B,ARL5B,HCOP,11
ARL8A,ARL8A,HCOP,11
ARL8B,ARL8B,HCOP,11
ARL9,ARL9,HCOP,11
ARMC1,ARMC1,HCOP,11
ARMC2,ARMC2,HCOP,11
ARNT,ARNT,HCOP,11
ARPC2,ARPC2,HCOP,11
ARPC5,ARPC5,HCOP,11
ARPC5L,ARPC5L,HCOP,11
ARPP19,ARPP19,HCOP,11
ARRDC4,ARRDC4,HCOP,11
ARSJ,ARSJ,HCOP,11
ART3,ART3,HCOP,11
ART5,ART5,HCOP,11
ASAH2,ASAH2,HCOP,11
ASAP1,ASAP1,HCOP,11
ASAP2,ASAP2,HCOP,11
ASB7,ASB7,HCOP,11
ASB9,ASB9,HCOP,11
ASCC3,ASCC3,HCOP,11
ASCL1,ASCL1,HCOP,11
ASCL2,ASCL2,HCOP,11
ASCL3,ASCL3,HCOP,11
ASH1L,ASH1L,HCOP,11
ASIC1,ASIC1,HCOP,11
ASIC2,ASIC2,HCOP,11
ASIC3,ASIC3,HCOP,11
ASL,ASL,HCOP,11
ASPM,ASPM,HCOP,11
ASPRV1,ASPRV1,HCOP,11
ASTN1,ASTN1,HCOP,11
ASXL2,ASXL2,HCOP,11
ASZ1,ASZ1,HCOP,11
ATAD1,ATAD1,HCOP,11
ATAD2,ATAD2,HCOP,11
ATF2,ATF2,HCOP,11
ATF4,ATF4,HCOP,11
ATF6B,ATF6B,HCOP,11
ATF7IP2,ATF7IP2,HCOP,11
ATG4C,ATG4C,HCOP,11
ATG4D,ATG4D,HCOP,11
ATG5,ATG5,HCOP,11
ATM,ATM,HCOP,11
ATOH7,ATOH7,HCOP,11
ATOSA,ATOSA,HCOP,11
ATOX1,ATOX1,HCOP,11
ATP11A,ATP11A,HCOP,11
ATP11B,ATP11B,HCOP,11
ATP11C,ATP11C,HCOP,11
ATP12A,ATP12A,HCOP,11
ATP13A1,ATP13A1,HCOP,11
ATP13A2,ATP13A2,HCOP,11
ATP13A3,ATP13A3,HCOP,11
ATP1A2,ATP1A2,HCOP,11
ATP1A4,ATP1A4,HCOP,11
ATP2A3,ATP2A3,HCOP,11
ATP2B2,ATP2B2,HCOP,11
ATP4A,ATP4A,HCOP,11
ATP5ME,ATP5ME,HCOP,11
ATP5PD,ATP5PD,HCOP,11
ATP5PO,ATP5PO,HCOP,11
ATP6AP1,ATP6AP1,HCOP,11
ATP6AP2,ATP6AP2,HCOP,11
ATP6V0B,ATP6V0B,HCOP,11
ATP6V0C,ATP6V0C,HCOP,11
ATP6V1G1,ATP6V1G1,HCOP,11
ATP6V1G2,ATP6V1G2,HCOP,11
ATP7A,ATP7A,HCOP,11
ATP8A1,ATP8A1,HCOP,11
ATP8B2,ATP8B2,HCOP,11
ATPAF1,ATPAF1,HCOP,11
ATRAID,ATRAID,HCOP,11
ATRX,ATRX,HCOP,11
ATXN3,ATXN3,HCOP,11
AURKA,AURKA,HCOP,11
AURKAIP1,AURKAIP1,HCOP,11
AVEN,AVEN,HCOP,11
AVIL,AVIL,HCOP,11
AW209491,C7ORF25,HCOP,11
AWAT1,AWAT1,HCOP,11
AXIN1,AXIN1,HCOP,11
AXIN2,AXIN2,HCOP,11
AXL,AXL,HCOP,11
AZGP1,AZGP1,HCOP,11
B3GALT1,B3GALT1,HCOP,11
B3GALT4,B3GALT4,HCOP,11
B3GAT1,B3GAT1,HCOP,11
B3GAT2,B3GAT2,HCOP,11
B3GLCT,B3GLCT,HCOP,11
B3GNT3,B3GNT3,HCOP,11
B3GNT4,B3GNT4,HCOP,11
B3GNT6,B3GNT6,HCOP,11
B4GALNT4,B4GALNT4,HCOP,11
B4GALT4,B4GALT4,HCOP,11
B4GALT5,B4GALT5,HCOP,11
B4GAT1,B4GAT1,HCOP,11
B9D1,B9D1,HCOP,11
BAAT,BAAT,HCOP,11
BABAM2,BABAM2,HCOP,11
BAG3,BAG3,HCOP,11
BAG6,BAG6,HCOP,11
BAIAP3,BAIAP3,HCOP,11
BAMBI,BAMBI,HCOP,11
BANK1,BANK1,HCOP,11
BATF3,BATF3,HCOP,11
BAX,BAX,HCOP,11
BAZ2B,BAZ2B,HCOP,11
BBOF1,BBOF1,HCOP,11
BBS1,BBS1,HCOP,11
BC005624,C9ORF78,HCOP,11
BC048671,C3ORF22,HCOP,11
BC049715,C12ORF60,HCOP,11
BCAN,BCAN,HCOP,11
BCAP31,BCAP31,HCOP,11
BCAR1,BCAR1,HCOP,11
BCAS1,BCAS1,HCOP,11
BCDIN3D,BCDIN3D,HCOP,11
